                        Flux (/cm^2/1E21p.o.t/50MeV)
Bin#    Energy (GeV)    numu            anti-numu       nue             anti-nue
---------------------------------------------------------------------------------
1        0.00- 0.05     1.27e+04        1.64e+04        1.80e+02        2.97e+01
2        0.05- 0.10     5.40e+04        5.41e+04        1.02e+03        1.23e+02
3        0.10- 0.15     1.11e+05        3.98e+04        2.17e+03        2.12e+02
4        0.15- 0.20     1.75e+05        3.10e+04        3.23e+03        2.86e+02
5        0.20- 0.25     2.62e+05        2.78e+04        4.08e+03        3.56e+02
6        0.25- 0.30     3.68e+05        2.77e+04        4.73e+03        4.15e+02
7        0.30- 0.35     4.83e+05        2.83e+04        5.27e+03        4.61e+02
8        0.35- 0.40     5.97e+05        2.92e+04        5.58e+03        4.93e+02
9        0.40- 0.45     7.21e+05        2.97e+04        5.80e+03        5.18e+02
10       0.45- 0.50     8.89e+05        2.93e+04        5.77e+03        5.31e+02
11       0.50- 0.55     1.11e+06        2.93e+04        5.72e+03        5.35e+02
12       0.55- 0.60     1.24e+06        2.98e+04        5.53e+03        5.31e+02
13       0.60- 0.65     1.23e+06        2.92e+04        5.33e+03        5.26e+02
14       0.65- 0.70     1.14e+06        2.80e+04        5.03e+03        5.15e+02
15       0.70- 0.75     9.10e+05        2.59e+04        4.76e+03        5.05e+02
16       0.75- 0.80     6.31e+05        2.43e+04        4.43e+03        4.92e+02
17       0.80- 0.85     4.16e+05        2.07e+04        4.09e+03        4.81e+02
18       0.85- 0.90     2.70e+05        2.01e+04        3.78e+03        4.67e+02
19       0.90- 0.95     1.86e+05        1.89e+04        3.41e+03        4.55e+02
20       0.95- 1.00     1.39e+05        1.78e+04        3.13e+03        4.46e+02
21       1.00- 1.05     1.11e+05        1.66e+04        2.89e+03        4.33e+02
22       1.05- 1.10     9.36e+04        1.54e+04        2.63e+03        4.20e+02
23       1.10- 1.15     7.87e+04        1.36e+04        2.36e+03        4.15e+02
24       1.15- 1.20     6.64e+04        1.28e+04        2.16e+03        3.90e+02
25       1.20- 1.25     5.84e+04        1.13e+04        1.99e+03        3.85e+02
26       1.25- 1.30     5.19e+04        1.05e+04        1.85e+03        3.73e+02
27       1.30- 1.35     4.65e+04        9.71e+03        1.69e+03        3.66e+02
28       1.35- 1.40     4.10e+04        8.90e+03        1.59e+03        3.55e+02
29       1.40- 1.45     3.62e+04        7.69e+03        1.50e+03        3.48e+02
30       1.45- 1.50     3.41e+04        7.79e+03        1.42e+03        3.40e+02
31       1.50- 1.55     3.14e+04        7.32e+03        1.37e+03        3.29e+02
32       1.55- 1.60     2.91e+04        6.82e+03        1.32e+03        3.20e+02
33       1.60- 1.65     2.61e+04        6.03e+03        1.28e+03        3.11e+02
34       1.65- 1.70     2.53e+04        5.77e+03        1.22e+03        3.03e+02
